"from","to","kind"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/acknowledgements.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/applications.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/autoencoders.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/bib.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/convnets.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/generative_models.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/graphical_models.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/guidelines.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/index-.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/inference.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/intro.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/linear_algebra.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/linear_factors.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/ml.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/mlp.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/monte_carlo.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/notation.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/numerical.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/optimization.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/part_basics.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/part_practical.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/part_research.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/partition.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/prob.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/regularization.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/representation.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/rnn.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/contents/TOC.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/exercises.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/external.html","html"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/front_matter.pdf","pdf"
"http://www.deeplearningbook.org/","http://www.deeplearningbook.org/lecture_slides.html","html"
"http://www.deeplearningbook.org/","https://docs.google.com/document/d/1ABlp7FluwZ0B82_fjNOFVQ2uOZkfuF8elbofhZmNXag/edit?usp=sharing","external"
"http://www.deeplearningbook.org/","https://github.com/goodfeli/dlbook_notation","external"
"http://www.deeplearningbook.org/","https://groups.google.com/forum/","external"
"http://www.deeplearningbook.org/","https://www.amazon.com/Deep-Learning-Adaptive-Computation-Machine/dp/0262035618/ref=sr_1_1?ie=UTF8&qid=1472485235&sr=8-1&keywords=deep+learning+book","external"
"http://www.deeplearningbook.org/contents/applications.html","http://www.deeplearningbook.org/contents/cyc.com/opencyc","html"
"http://www.deeplearningbook.org/contents/applications.html","http://www.deeplearningbook.org/contents/freebase.com","html"
"http://www.deeplearningbook.org/contents/applications.html","http://www.deeplearningbook.org/contents/geneontology.org","html"
"http://www.deeplearningbook.org/contents/applications.html","http://www.deeplearningbook.org/contents/wikiba.se","html"
"http://www.deeplearningbook.org/contents/applications.html","http://www.deeplearningbook.org/contents/wordnet.princeton.edu","html"
"http://www.deeplearningbook.org/contents/applications.html","http://www.deeplearningbook.org/contents/wordnet.princeton.edu","html"
"http://www.deeplearningbook.org/contents/bib.html","http://caffe.berkeleyvision.org/","external"
"http://www.deeplearningbook.org/exercises.html","http://deeplearning.net/tutorial/","external"
"http://www.deeplearningbook.org/exercises.html","http://tensorflow.org/tutorials/index.html","external"
"http://www.deeplearningbook.org/exercises.html","http://www.deeplearningbook.org/","html"
"http://www.deeplearningbook.org/exercises.html","http://www.deeplearningbook.org/external.html","html"
"http://www.deeplearningbook.org/exercises.html","http://www.deeplearningbook.org/front_matter.pdf","pdf"
"http://www.deeplearningbook.org/exercises.html","http://www.deeplearningbook.org/lecture_slides.html","html"
"http://www.deeplearningbook.org/exercises.html","http://www.deeplearningbook.org/linear_algebra.pdf","pdf"
"http://www.deeplearningbook.org/exercises.html","https://github.com/goodfeli/dlbook_exercises","external"
"http://www.deeplearningbook.org/exercises.html","https://github.com/goodfeli/theano_exercises","external"
"http://www.deeplearningbook.org/external.html","http://www.deeplearningbook.org/","html"
"http://www.deeplearningbook.org/external.html","http://www.deeplearningbook.org/exercises.html","html"
"http://www.deeplearningbook.org/external.html","http://www.deeplearningbook.org/front_matter.pdf","pdf"
"http://www.deeplearningbook.org/external.html","http://www.deeplearningbook.org/lecture_slides.html","html"
"http://www.deeplearningbook.org/external.html","https://www.commonlounge.com/community/e531572c319542e8bc1a28658ef85cb1","external"
"http://www.deeplearningbook.org/external.html","https://www.youtube.com/channel/UCF9O8Vj-FEbRDA5DcDGz-Pg/videos","external"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/applications.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/autoencoders.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/convnets.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/graphical_models.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/guidelines.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/intro.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/linear_algebra.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/linear_factors.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/ml.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/mlp.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/monte_carlo.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/numerical.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/optimization.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/partition.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/prob.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/regularization.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/representation.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/contents/rnn.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/exercises.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/external.html","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/front_matter.pdf","pdf"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/slides/01_intro.key","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/slides/01_intro.pdf","pdf"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/slides/02_linear_algebra.key","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/slides/02_linear_algebra.pdf","pdf"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/slides/03_prob.key","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/slides/03_prob.pdf","pdf"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/slides/04_numerical.key","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/slides/04_numerical.pdf","pdf"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/slides/05_ml.key","html"
"http://www.deeplearningbook.org/lecture_slides.html","http://www.deeplearningbook.org/slides/05_ml.pdf","pdf"
