run_id,file_name,golden_path_resource,baseline_topic_f1,gpt55_topic_f1,baseline_prerequisite_f1,gpt55_prerequisite_f1,prerequisite_f1_delta
01-introduction-to-rag-7cfd7fd31611,,False,0.4444,0.6364,0.0,0.2857,0.2857
01-simple-qa-readme-77b046bfe0ed,,False,0.6667,0.6316,0.2857,0.5714,0.2857
01_intro-d3a9f91a36eb,,False,0.8571,0.8571,0.1818,0.25,0.0682
02-document-chat-readme-f1744a249864,,False,0.1905,0.1905,0.0,0.0,0.0
02-understanding-embeddings-2a611584541b,,False,0.6316,0.5263,0.4,0.25,-0.15
03-vector-databases-retrieval-4f238ede4c95,,False,0.6316,0.5882,0.2857,1.0,0.7143
03_prob-20e52d6d8bb6,,False,0.6,0.5263,0.375,0.4706,0.0956
04-language-models-generation-fd2b5b9f4415,,False,0.5263,0.6316,0.3333,0.5,0.1667
04_numerical-dd3a4dd53cd3,,False,0.8,0.7619,0.5455,0.7059,0.1604
05-building-simple-rag-35ec62f5ee2b,,False,0.5714,0.7,0.0,0.25,0.25
05_ml-f11d16937e75,,False,0.7619,0.7273,0.25,0.6,0.35
06-advanced-rag-techniques-a65350c7ccf6,,False,0.7619,0.7619,0.0,0.4,0.4
06_mlp-01e27d8d0770,,False,0.8571,0.8182,0.3333,0.6667,0.3334
07_regularization-997097d7933e,,False,0.7273,0.7826,0.2222,0.6667,0.4445
09_conv-426f5e52542b,,False,0.7826,0.7826,0.1818,0.4615,0.2797
10_rnn-9b582c970ecc,,False,0.6957,0.7826,0.1538,0.2857,0.1319
11_practical-a68993be7226,,False,0.6957,0.6957,0.0,0.4444,0.4444
12_applications-138e122a8bdc,,False,0.8182,0.7826,0.2857,0.6667,0.381
13_linear_factors-92de7f819b1a,,False,0.5556,0.5882,0.0,0.0,0.0
14_autoencoders-130bdd5f620b,,False,0.8,0.7,0.3636,0.5,0.1364
15_representation-4d0c1e4d0bc5,,False,0.6,0.6316,0.0,0.0,0.0
16_graphical_models-26ce146b38e1,,False,0.7273,0.75,0.0,0.0,0.0
17_monte_carlo-ff4d1de5355c,,False,0.4,0.5714,0.0,0.0,0.0
18_partition-b39fd6ffea3b,,False,0.5455,0.5263,0.1818,0.3636,0.1818
2024-cs224n-python-review-session-slides.pptx-17ef722b88a0,,False,0.7619,0.7619,0.3636,0.5333,0.1697
andrew-ng-machine-learning-yearning-7e40402fdf34,,False,0.8,0.7619,0.3333,0.6,0.2667
batch_norm-d1d6f8695dd4,,False,0.5882,0.5882,0.25,0.0,-0.25
cs224n-2026-lecture01-history-5845dce2ddc2,,False,0.8,0.8,0.0,0.6667,0.6667
cs224n-2026-lecture01-intro-f9a723b011b2,,False,0.375,0.6667,0.0,0.0,0.0
cs224n-2026-lecture02-wordvecs-fd0b4ad8af88,,False,0.7826,0.7273,0.3636,0.2857,-0.0779
cs224n-2026-lecture03-neuralnets-8aae94ed0125,,False,0.8182,0.8182,0.4615,0.6667,0.2052
cs224n-2026-lecture04-rnnlm-590f0f50aaee,,False,0.8571,0.8182,0.0,0.4,0.4
cs224n-2026-lecture05-transformers-0e9017f9dbd8,,False,0.6957,0.8,0.5333,0.6667,0.1334
cs224n-2026-lecture06-final-project-b7818dcc886c,,False,0.7826,0.8182,0.4,0.5,0.1
cs224n-2026-lecture08-posttraining-f71e4c3743c8,,False,0.7826,0.7826,0.5,0.3333,-0.1667
cs224n-2026-lecture09-peft-c94167e219b5,,False,0.8182,0.8182,0.3077,0.5714,0.2637
cs224n-2026-lecture10-rag-agents-2e97edb678d2,,False,0.7,0.7368,0.0,0.0,0.0
cs224n-2026-lecture11-evaluation-93703513bbd4,,False,0.7619,0.7,0.1818,0.4,0.2182
cs224n-2026-lecture12-reasoning-part1-4f4ba00d02f4,,False,0.7826,0.8182,0.0,0.0,0.0
cs224n-2026-lecture13-reasoning-part2-9be210e8836e,,False,0.7619,0.6957,0.0,0.4,0.4
cs224n-2026-lecture14-guest-julie-tokenization-multilinguality-759f414aec53,,False,0.7,0.6667,0.3333,0.5,0.1667
cs224n-2026-lecture16-impact-on-humanity-1b2803f69d2c,,False,0.7619,0.7619,0.4,0.0,-0.4
cs224n-2026-lecture19-open-questions-f6d8d31e8a6f,,False,0.7273,0.7826,0.4,0.3333,-0.0667
cs224n-spr2024-lecture15-life-after-dpo-lambert-e534f25111e7,,False,0.7,0.6,0.0,0.3333,0.3333
dls_2016-562b4445509a,,False,0.75,0.75,0.1538,0.1429,-0.0109
dl___final_lecture___design_engineering-e751bcf4b967,,False,0.4615,0.4444,0.2222,0.5,0.2778
dl___lecture_6___design_engineering-fb7c77f387de,,False,0.6875,0.7097,0.3333,0.4615,0.1282
dl___week_1___design_engineering-2-4b5a4de9201e,,False,0.7619,0.7619,0.2222,0.4,0.1778
dl___week_2___design_engineering-a7ff94af9bad,,False,0.7826,0.8182,0.3077,0.4,0.0923
front_matter-1f6f329f9525,,False,0.7059,0.5882,0.0,0.5,0.5
glossary-c9772e6502e2,,False,0.7826,0.8571,0.2,0.3333,0.1333
islp_website-278d3bdd49a8,,False,0.8182,0.8571,0.0,0.8,0.8
islrv2_corrected_june_2023-7ed447d1a513,,False,0.7826,0.8182,0.0,1.0,1.0
linear_algebra-02de2e03aa08,,False,0.1538,0.1538,0.0,0.0,0.0
quickstart-007d88a49ebb,,False,0.625,0.625,0.3077,0.6154,0.3077
readme-3ceb60c79421,,False,0.2667,0.3529,0.0,0.0,0.0
sgd_and_cost_structure-84a4549929c0,,False,0.7273,0.7619,0.3333,0.6154,0.2821
